"Rank","Title","Theaters","Total.Gross","Release.Date","Distributor"
71,"Operation Fortune: Ruse de Guerre",2168,6496125,"2023-03-03 00:00:00","Lionsgate"
72,"BTS: Yet to Come in Cinemas",1210,8093270,"2023-02-01 00:00:00","Trafalgar Releasing"
73,"Babylon",3351,15351455,"2023-12-23 00:00:00","Paramount Pictures"
74,"Love Again",2703,6230837,"2023-05-05 00:00:00","Screen Gems"
75,"The Fabelmans",1962,17348945,"2023-11-11 00:00:00","Universal Pictures"
76,"The Chosen Season 3 Finale",1979,5525069,"2023-02-02 00:00:00","Fathom Events"
77,"Nefarious",933,5433685,"2023-04-14 00:00:00","Soli Deo Gloria Releasing"
78,"Big George Foreman",3054,5426772,"2023-04-28 00:00:00","Sony Pictures Entertainment (SPE)"
79,"Women Talking",707,5456531,"2023-12-23 00:00:00","United Artists Releasing"
80,"Infinity Pool",1835,5078400,"2023-01-27 00:00:00","Neon"
81,"You Hurt My Feelings",912,4830788,"2023-05-26 00:00:00","A24"
82,"Kandahar",2105,4813132,"2023-05-26 00:00:00","Open Road Films (II)"
83,"Hypnotic",2118,4500169,"2023-05-12 00:00:00","Ketchup Entertainment"
84,"Marlowe",2281,4350243,"2023-02-15 00:00:00","Open Road Films (II)"
85,"The Amazing Maurice",1717,4303645,"2023-02-03 00:00:00","Viva Pictures"
86,"Mummies",384,4275970,"2023-02-24 00:00:00","Warner Bros."
87,"Retribution",1750,3821285,"2023-08-25 00:00:00","Roadside Attractions"
88,"Ponniyin Selvan: Part Two",NA,3813000,"2023-04-28 00:00:00",NA
89,"Left Behind: Rise of the Antichrist",1407,3649422,"2023-01-26 00:00:00","Fathom Events"
90,"Theater Camp",555,3644801,"2023-07-14 00:00:00","Searchlight Pictures"
91,"The Journey: A Music Special from Andrea Bocelli",1074,3574915,"2023-04-02 00:00:00","Fathom Events"
92,"Chevalier",1281,3541159,"2023-04-21 00:00:00","Walt Disney Studios Motion Pictures"
93,"Mafia Mamma",2002,3496761,"2023-04-14 00:00:00","Bleecker Street Media"
94,"The Wandering Earth II",172,5023132,"2023-01-22 00:00:00","Well Go USA Entertainment"
95,"A Thousand and One",926,3400020,"2023-03-31 00:00:00","Focus Features"
96,"Violent Night",3723,50057405,"2023-12-02 00:00:00","Universal Pictures"
97,"2023 Oscar Nominated Short Films: Live Action",357,3025631,"2023-02-17 00:00:00","ShortsTV"
98,"Living",644,3038113,"2023-12-23 00:00:00","Sony Pictures Classics"
99,"The Menu",3228,38501125,"2023-11-18 00:00:00","Searchlight Pictures"
100,"The Hill",1570,2515612,"2023-08-25 00:00:00","Briarcliff Entertainment"
101,"Tu Jhoothi Main Makkaar",400,2503604,"2023-03-08 00:00:00","Yash Raj Films USA Inc."
102,"Come Out in Jesus Name",1047,2500574,"2023-03-13 00:00:00","Fathom Events"
103,"A Good Person",687,2210465,"2023-03-24 00:00:00","United Artists Releasing"
104,"Moving On",794,2136832,"2023-03-17 00:00:00","Roadside Attractions"
105,"The Miracle Club",677,2104152,"2023-07-14 00:00:00","Sony Pictures Entertainment (SPE)"
106,"Skinamarink",809,2052272,"2023-01-13 00:00:00","IFC Films"
107,"Jurassic Park2023 Re-release (30th Anniversary)",1224,1864240,"2023-08-25 00:00:00","Universal Pictures"
108,"Golda",883,1856809,"2023-08-25 00:00:00","Bleecker Street Media"
109,"Somewhere in Queens",602,1802442,"2023-04-21 00:00:00","Roadside Attractions"
110,"Jules",780,1775876,"2023-08-11 00:00:00","Bleecker Street Media"
111,"Winnie the Pooh: Blood and Honey",1652,1750639,"2023-02-15 00:00:00","Fathom Events"
112,"Fear",974,2090261,"2023-01-27 00:00:00","Hidden Empire Film Group (HEFG)"
113,"Lost in the Stars",NA,1721446,"2023-07-07 00:00:00","CMC Pictures"
114,"That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond",1473,1588491,"2023-01-20 00:00:00","Crunchyroll"
115,"The Banshees of Inisherin",1205,10582266,"2023-10-21 00:00:00","Searchlight Pictures"
116,"Polite Society",927,1545600,"2023-04-28 00:00:00","Focus Features"
117,"The Quiet Girl",244,1500014,"2023-02-24 00:00:00","Neon"
118,"BlackBerry",449,1476597,"2023-05-12 00:00:00","IFC Films"
119,"Spirited Away2023 Re-release (Live on Stage)",1046,1455081,"2023-04-23 00:00:00","Fathom Events"
120,"Oldboy2023 Re-release",250,1443314,"2023-08-16 00:00:00",NA
121,"Maybe I Do",465,1293722,"2023-01-27 00:00:00","Vertical Entertainment"
122,"Billie Eilish Live at the O2",600,1290000,"2023-01-27 00:00:00","Trafalgar Releasing"
123,"The First Slam Dunk",581,1256517,"2023-07-28 00:00:00","GKIDS"
124,"Tár",1090,6773650,"2023-10-07 00:00:00","Focus Features"
125,"The Lost King",753,1188032,"2023-03-24 00:00:00","IFC Films"
126,"The Lord of the Rings: The Return of the King20th Anniversary",1107,1176085,"2023-04-13 00:00:00","Fathom Events"
127,"Strange World",4174,37968963,"2023-11-23 00:00:00","Walt Disney Studios Motion Pictures"
128,"Close",233,1100113,"2023-01-27 00:00:00","A24"
129,"Emily",579,1097067,"2023-02-17 00:00:00","Bleecker Street Media"
130,"Knights of the Zodiac",588,1090155,"2023-05-12 00:00:00",NA
131,"Broker",271,1046899,"2023-12-23 00:00:00","Neon"
132,"Showing Up",115,754483,"2023-04-07 00:00:00","A24"
133,"The Roundup: No Way Out",41,909411,"2023-06-02 00:00:00","Capelight Pictures"
134,"Inside",357,897190,"2023-03-17 00:00:00","Focus Features"
135,"Fool's Paradise",794,855173,"2023-05-12 00:00:00","Roadside Attractions"
136,"Paint",819,811739,"2023-04-07 00:00:00","IFC Films"
137,"Return to Seoul",103,798774,"2023-02-17 00:00:00","Sony Pictures Classics"
138,"Hidden Blade",62,803189,"2023-02-17 00:00:00","Well Go USA Entertainment"
139,"The Devil Conspiracy",925,765218,"2023-01-13 00:00:00",NA
140,"Roll with It",725,757981,"2023-05-09 00:00:00","Fathom Events"
141,"How to Blow Up a Pipeline",530,750010,"2023-04-07 00:00:00",NA
142,"Rally Road Racers",1228,744169,"2023-05-12 00:00:00","Viva Pictures"
143,"It Ain't Over",128,705355,"2023-05-12 00:00:00","Sony Pictures Entertainment (SPE)"
144,"Devotion",3458,20511938,"2023-11-23 00:00:00","Columbia Pictures"
145,"Master Gardener",225,667114,"2023-05-19 00:00:00","Magnolia Pictures"
146,"Shortcomings",404,653780,"2023-08-04 00:00:00","Sony Pictures Classics"
147,"Corsage",317,705767,"2023-12-23 00:00:00","IFC Films"
148,"EO",80,1068782,"2023-11-18 00:00:00","Sideshow Releasing"
149,"Shin Ultraman",1040,601490,"2023-01-11 00:00:00","Fathom Events"
150,"The Thorn",834,577004,"2023-03-06 00:00:00","Fathom Events"
151,"The Way2023 Re-release",755,567448,"2023-05-16 00:00:00","Fathom Events"
152,"Of an Age",289,556585,"2023-02-17 00:00:00","Focus Features"
153,"Sweetwater",1204,541633,"2023-04-14 00:00:00","Briarcliff Entertainment"
154,"Aftersun",97,1658790,"2023-10-21 00:00:00","A24"
155,"Consecration",762,538551,"2023-02-10 00:00:00","IFC Films"
156,"Sanctuary",225,535202,"2023-05-19 00:00:00",NA
157,"Bottoms",10,533978,"2023-08-25 00:00:00","Orion Pictures"
158,"Triangle of Sadness",610,4608096,"2023-10-07 00:00:00","Neon"
159,"Crouching Tiger, Hidden Dragon2023 Re-release",475,451549,"2023-02-17 00:00:00","Sony Pictures Classics"
160,"A Father's Heart",741,447912,"2023-05-01 00:00:00","Fathom Events"
161,"The Son",554,449650,"2023-01-20 00:00:00","Sony Pictures Classics"
162,"The Essential Church",301,412550,"2023-07-28 00:00:00","Atlas Distribution Company"
163,"Mending the Line",403,379890,"2023-06-09 00:00:00","Blue Fox Entertainment"
164,"CatVideoFest 2023",37,327584,"2023-08-04 00:00:00","Oscilloscope"
165,"Go West",38,340017,"2023-07-19 00:00:00","Purdie Distribution"
166,"Terrifier",853,339946,"2023-07-19 00:00:00",NA
167,"Selfiee",308,335775,"2023-02-24 00:00:00",NA
168,"Turn Every Page: The Adventures of Robert Caro and Robert Gottlieb",34,335417,"2023-12-30 00:00:00","Sony Pictures Entertainment (SPE)"
169,"Wild Life",30,326184,"2023-04-14 00:00:00","Picturehouse"
170,"Children of the Corn",586,325583,"2023-03-03 00:00:00",NA
171,"Waltair Veerayya",350,320000,"2023-01-13 00:00:00",NA
172,"The Lesson",268,310746,"2023-07-07 00:00:00",NA
173,"Psycho-Pass: Providence",419,309757,"2023-07-14 00:00:00","Crunchyroll"
174,"UFC 291: Poirier vs. Gaethje 2",347,308825,"2023-07-29 00:00:00",NA
175,"Mirando Al Cielo",680,295539,"2023-04-18 00:00:00","Fathom Events"
176,"Joyland",38,302550,"2023-04-07 00:00:00","Oscilloscope"
177,"Passages",114,415827,"2023-08-04 00:00:00","MUBI"
178,"Southern Gospel",600,293496,"2023-03-10 00:00:00",NA
179,"School of Magical Animals",301,288414,"2023-03-24 00:00:00","Blue Fox Entertainment"
180,"Dreamin' Wild",402,276672,"2023-08-04 00:00:00","Roadside Attractions"
181,"The Eight Mountains",51,302456,"2023-04-28 00:00:00","Variance Films"
182,"Every Body",255,273860,"2023-06-30 00:00:00","Focus Features"
183,"Empire of Light",436,1177577,"2023-12-09 00:00:00","Searchlight Pictures"
184,"Born to Fly",74,277011,"2023-04-28 00:00:00","Well Go USA Entertainment"
185,"RRR Fan CelebRRRation2023 Re-release",283,256566,"2023-03-03 00:00:00","Variance Films"
186,"Malum",249,221738,"2023-03-31 00:00:00",NA
187,"All the Beauty and the Bloodshed",48,500082,"2023-11-23 00:00:00",NA
188,"Saint Omer",245,213953,"2023-01-13 00:00:00","Neon"
189,"Afire",44,204620,"2023-07-14 00:00:00","Sideshow Releasing"
190,"One Fine Morning",49,214470,"2023-01-27 00:00:00","Sony Pictures Entertainment (SPE)"
191,"Lourdes2022 Re-release",624,197702,"2023-02-08 00:00:00","Fathom Events"
192,"When You Finish Saving the World",403,196920,"2023-01-20 00:00:00","A24"
193,"Landscape with Invisible Hand",304,193829,"2023-08-18 00:00:00",NA
194,"Lyle, Lyle, Crocodile",4350,46888441,"2023-10-07 00:00:00","Sony Pictures Entertainment (SPE)"
195,"The Conformist2023 Re-release",7,180135,"2023-01-06 00:00:00","Kino Lorber"
196,"Contempt4k Restoration - 60th Anniversary",8,173816,"2023-06-30 00:00:00","Rialto Pictures"
197,"The Wrath of Becky",274,168109,"2023-05-26 00:00:00","Quiver Distribution"
198,"The Starling Girl",114,161290,"2023-05-12 00:00:00","Bleecker Street Media"
199,"¡Que viva México!",90,161222,"2023-03-24 00:00:00","Sony Pictures Entertainment (SPE)"
200,"Enys Men",62,189579,"2023-03-31 00:00:00",NA
