"Test","Statistic","p_value"
"Pearson r",0.601422143657778,7.31394123415277e-21
"Spearman rho",0.899100482117867,3.01828953360827e-72
"Regression Raw",40602.3857474822,7.31394123415256e-21
"Regression Log",0.00138393595074749,8.73487551786077e-81
"Breusch-Pagan p",0.18771643984514,0.18771643984514
